#TYPE System.Management.Automation.PSCustomObject
"Namespace","ResourceTypeName","FullProduct","Locations","ApiVersions","Cloud","ApiUsed"
"Microsoft.Resources","resourceGroups","Microsoft.Resources/resourceGroups","3173r03b","2020-06-01,2020-05-01,2020-01-01,2019-11-01,2019-10-01,2019-09-01,2019-08-01,2019-07-01,2019-06-01,2019-05-10,2019-05-01,2019-03-01,2018-11-01,2018-09-01,2018-08-01,2018-07-01,2018-06-01,2018-05-01,2018-02-01,2018-01-01,2017-12-01,2017-08-01,2017-06-05,2017-05-10,2017-05-01,2017-03-01,2016-09-01,2016-07-01,2016-06-01,2016-02-01,2015-11-01,2015-01-01,2014-04-01-preview","AzureStackAdmin","2019-05-01"
"Microsoft.Network","virtualNetworks/subnets","Microsoft.Network/virtualNetworks/subnets","","","AzureStackAdmin","2021-02-01"
"Microsoft.Storage","storageaccounts","Microsoft.Storage/storageaccounts","3173r03b","2019-06-01,2019-04-01,2018-11-01,2018-07-01,2018-02-01,2017-10-01,2017-06-01,2016-12-01,2016-05-01,2016-01-01,2015-06-15,2015-05-01-preview","AzureStackAdmin","2019-06-01"
"Microsoft.Network","networkSecurityGroups","Microsoft.Network/networkSecurityGroups","3173r03b","2018-11-01,2018-10-01,2018-08-01,2018-07-01,2018-06-01,2018-05-01,2018-04-01,2018-03-01,2018-02-01,2018-01-01,2017-11-01,2017-10-01,2017-09-01,2017-08-01,2017-06-01,2017-04-01,2017-03-01,2016-12-01,2016-11-01,2016-10-01,2016-09-01,2016-08-01,2016-07-01,2016-06-01,2016-03-30,2015-06-15,2015-05-01-preview,2014-12-01-preview","AzureStackAdmin","2021-02-01"
"Microsoft.Insights","diagnosticSettings","Microsoft.Insights/diagnosticSettings","","2017-05-01-preview,2016-09-01","AzureStackAdmin","2017-05-01-preview"
"Microsoft.Network","virtualNetworks","Microsoft.Network/virtualNetworks","3173r03b","2018-11-01,2018-10-01,2018-08-01,2018-07-01,2018-06-01,2018-05-01,2018-04-01,2018-03-01,2018-02-01,2018-01-01,2017-11-01,2017-10-01,2017-09-01,2017-08-01,2017-06-01,2017-04-01,2017-03-01,2016-12-01,2016-11-01,2016-10-01,2016-09-01,2016-08-01,2016-07-01,2016-06-01,2016-03-30,2015-06-15,2015-05-01-preview,2014-12-01-preview","AzureStackAdmin","2021-02-01"
"Microsoft.Network","routeTables","Microsoft.Network/routeTables","3173r03b","2018-11-01,2018-10-01,2018-08-01,2018-07-01,2018-06-01,2018-05-01,2018-04-01,2018-03-01,2018-02-01,2018-01-01,2017-11-01,2017-10-01,2017-09-01,2017-08-01,2017-06-01,2017-04-01,2017-03-01,2016-12-01,2016-11-01,2016-10-01,2016-09-01,2016-08-01,2016-07-01,2016-06-01,2016-03-30,2015-06-15,2015-05-01-preview,2014-12-01-preview","AzureStackAdmin","2021-02-01"
"Microsoft.Network","publicIpAddresses","Microsoft.Network/publicIpAddresses","3173r03b","2018-11-01,2018-10-01,2018-08-01,2018-07-01,2018-06-01,2018-05-01,2018-04-01,2018-03-01,2018-02-01,2018-01-01,2017-11-01,2017-10-01,2017-09-01,2017-08-01,2017-06-01,2017-04-01,2017-03-01,2016-12-01,2016-11-01,2016-10-01,2016-09-01,2016-08-01,2016-07-01,2016-06-01,2016-03-30,2015-06-15,2015-05-01-preview,2014-12-01-preview","AzureStackAdmin","2021-02-01"
"Microsoft.Network","firewallPolicies","Microsoft.Network/firewallPolicies","","","AzureStackAdmin","2021-02-01"
"Microsoft.Network","firewallPolicies/ruleCollectionGroups","Microsoft.Network/firewallPolicies/ruleCollectionGroups","","","AzureStackAdmin","2021-02-01"
"Microsoft.Network","azureFirewalls","Microsoft.Network/azureFirewalls","","","AzureStackAdmin","2021-02-01"
"Microsoft.Network","virtualNetworks/virtualNetworkPeerings","Microsoft.Network/virtualNetworks/virtualNetworkPeerings","","","AzureStackAdmin","2021-02-01"
"Microsoft.Network","bastionHosts","Microsoft.Network/bastionHosts","","","AzureStackAdmin","2021-02-01"
"Microsoft.Network","networkInterfaces","Microsoft.Network/networkInterfaces","3173r03b","2018-11-01,2018-10-01,2018-08-01,2018-07-01,2018-06-01,2018-05-01,2018-04-01,2018-03-01,2018-02-01,2018-01-01,2017-11-01,2017-10-01,2017-09-01,2017-08-01,2017-06-01,2017-04-01,2017-03-01,2016-12-01,2016-11-01,2016-10-01,2016-09-01,2016-08-01,2016-07-01,2016-06-01,2016-03-30,2015-06-15,2015-05-01-preview,2014-12-01-preview","AzureStackAdmin","2021-02-01"
"Microsoft.Compute","virtualMachines","Microsoft.Compute/virtualMachines","3173r03b","2020-06-01,2019-12-01,2019-07-01,2019-03-01,2018-10-01,2018-06-01,2018-04-01,2017-12-01,2017-03-30,2016-08-30,2016-03-30,2015-11-01,2015-06-15","AzureStackAdmin","2020-06-01"
"Microsoft.Compute","virtualMachines","Microsoft.Compute/virtualMachines","3173r03b","2020-06-01,2019-12-01,2019-07-01,2019-03-01,2018-10-01,2018-06-01,2018-04-01,2017-12-01,2017-03-30,2016-08-30,2016-03-30,2015-11-01,2015-06-15","AzureStackAdmin","2021-04-01"
